property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,floor_num,total_floors,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,pooja apartment,sector 5,0.25,3571.0,2.0,2.0,2.0,0.2,Moderately Old,2.0,4.0,778.0,0,0,0,0,0,2,0
flat,signature global park,sohna road,0.95,7845.0,3.0,2.0,3.0,0.2,Moderately Old,1.0,4.0,1210.723472,0,0,0,0,0,2,37
flat,dlf new town heights,sector 90,1.99,7297.0,4.0,4.0,3.0,0.2,Moderately Old,9.0,29.0,3030.0,0,1,0,1,0,0,58
flat,paras dews,sector 106,1.05,7581.0,2.0,2.0,2.0,0.2,New Property,5.0,8.0,1539.0,0,0,0,0,0,2,67
flat,godrej air,sector 85,1.83,10005.0,3.0,3.0,3.0,0.2,Moderately Old,18.0,32.0,2032.0,0,0,0,0,0,2,68
flat,dlf the primus,sector 82a,2.25,10714.0,3.0,3.0,3.0,0.2,Moderately Old,29.0,31.0,2333.0,0,1,0,0,0,1,58
flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,3.0,3.0,3.0,0.2,Moderately Old,3.0,5.0,1833.0,1,1,0,0,0,0,38
flat,dlf regency park,sector 28,1.6,14545.0,2.0,2.0,2.0,0.2,Moderately Old,3.0,26.0,1222.0,0,0,0,0,0,2,37
flat,supertech araville,sector 79,0.83,5425.0,2.0,2.0,3.0,0.2,New Property,5.0,18.0,1700.0,1,0,0,0,0,1,35
flat,signature global park,sohna road,0.83,7411.0,3.0,2.0,2.0,0.2,New Property,1.0,4.0,1244.0,0,0,0,0,0,2,16
flat,maxworth city residences,sector 10a,0.8,6400.0,2.0,3.0,2.0,0.2,New Property,9.0,12.0,1389.0,0,0,0,0,0,2,46
flat,deepak minda,sector 1a imt manesar,1.25,4715.0,4.0,4.0,3.0,0.2,Moderately Old,6.0,10.0,2945.0,0,0,0,0,0,0,35
flat,pivotal devaan,sector 84,0.3,6667.0,1.0,1.0,1.0,0.2,New Property,14.0,14.0,500.0,0,0,0,0,0,0,13
flat,unitech the residences,sector 33,1.55,9873.0,3.0,4.0,1.0,0.2,Moderately Old,1.0,11.0,1421.0,0,1,0,0,0,2,28
flat,chd avenue,sector 71,0.79,6594.0,2.0,2.0,2.0,0.2,Moderately Old,8.0,14.0,1084.0,0,0,0,0,1,2,0
flat,silverglades the melia,sohna road,1.01,6999.0,2.0,2.0,3.0,0.2,Moderately Old,12.0,12.0,1184.0,1,0,0,0,0,2,53
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5008.0,4.0,5.0,3.0,0.2,Moderately Old,4.0,14.0,1717.0,0,1,0,0,0,2,28
flat,umang winter hills,sector 77,0.99,7857.0,2.0,2.0,2.0,0.2,Moderately Old,1.0,18.0,1126.0,0,0,0,0,0,2,61
flat,ramprastha skyz,sector 37d,1.1,6377.0,3.0,3.0,3.0,0.2,Moderately Old,7.0,19.0,1561.0,0,0,0,0,0,2,69
flat,4s aradhya homes,sector 67a,1.9,8862.0,4.0,4.0,3.0,0.2,New Property,3.0,4.0,1991.0,0,0,0,0,0,0,24
flat,ild greens,sector 37c,1.0,4320.0,3.0,3.0,3.0,0.2,Under Construction,5.0,20.0,1697.0,0,0,0,0,0,2,46
flat,bptp freedom park life,sector 57,2.5,11111.0,3.0,3.0,3.0,0.2,Old Property,9.0,15.0,2036.0,0,0,0,0,0,2,39
flat,godrej habitat,sector 3,1.1,10407.0,2.0,2.0,2.0,0.2,Under Construction,14.0,17.0,956.0,0,0,0,0,0,2,26
flat,ramsons kshitij,sector 95,0.29,5179.0,2.0,2.0,2.0,0.2,Moderately Old,14.0,14.0,507.0,0,0,0,0,0,2,38
flat,sidhartha ncr one,sector 95,0.55,5556.0,2.0,2.0,3.0,0.2,Moderately Old,15.0,20.0,990.0,0,0,0,0,0,2,0
flat,raheja sampada,sector 92,0.65,4745.0,3.0,2.0,3.0,0.2,Moderately Old,6.0,14.0,1240.0,0,0,0,0,0,2,35
flat,signature the serenas,sohna road,0.5,9398.0,2.0,2.0,2.0,0.2,New Property,6.0,14.0,590.0,0,0,0,0,0,2,28
flat,pareena laxmi apartments,sector 99a,0.32,5517.0,2.0,2.0,1.0,0.2,New Property,2.0,12.0,577.0,0,0,0,0,0,2,31
flat,satya the hermitage,sector 103,0.93,6405.0,2.0,3.0,3.0,0.2,Moderately Old,3.0,11.0,1613.0,0,1,0,0,0,0,67
