property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 1a imt manesar,4.0,4.0,3.0,Moderately Old,6.0,10.0,3450.0,0,0,1,Medium,Low Floor,1.25
flat,sector 84,1.0,1.0,1.0,New Property,14.0,14.0,586.0,0,0,1,Low,Low Floor,0.3
flat,sector 33,3.0,4.0,1.0,Moderately Old,1.0,11.0,1570.02,1,0,0,Low,Low Floor,1.55
flat,sector 71,2.0,2.0,2.0,Moderately Old,8.0,14.0,1198.02,0,0,0,Low,Low Floor,0.79
flat,sohna road,2.0,2.0,3.0,Under Construction,12.0,12.0,1450.0,0,0,0,Medium,Low Floor,1.01
flat,sector 92,4.0,5.0,3.0,Moderately Old,4.0,14.0,1897.03,1,0,0,Low,Low Floor,0.95
flat,sector 77,2.0,2.0,2.0,Moderately Old,1.0,18.0,1260.02,0,0,0,High,Low Floor,0.99
flat,sector 37d,3.0,3.0,3.0,Under Construction,7.0,19.0,1725.02,0,0,0,High,Low Floor,1.1
flat,sector 67a,4.0,4.0,3.0,New Property,3.0,4.0,2200.03,0,0,1,Low,Low Floor,1.9
flat,sector 37c,3.0,3.0,3.0,Under Construction,5.0,20.0,1874.96,0,0,0,Medium,Low Floor,1.0
flat,sector 57,3.0,3.0,3.0,Moderately Old,9.0,15.0,2249.98,0,0,0,Medium,Low Floor,2.5
flat,sector 3,2.0,2.0,2.0,Under Construction,14.0,17.0,1056.58,0,0,0,Low,Low Floor,1.1
flat,sector 95,2.0,2.0,2.0,Moderately Old,14.0,14.0,560.05,0,0,0,Medium,Low Floor,0.29
flat,sector 95,2.0,2.0,3.0,Moderately Old,15.0,20.0,989.96,0,0,0,Low,Low Floor,0.55
flat,sector 92,3.0,2.0,3.0,Moderately Old,6.0,14.0,1370.03,0,0,0,Medium,Low Floor,0.65
flat,sohna road,2.0,2.0,2.0,New Property,6.0,14.0,692.0,0,0,0,Low,Low Floor,0.5
flat,sector 99a,2.0,2.0,1.0,New Property,2.0,12.0,575.01,0,0,0,Medium,Low Floor,0.32
flat,sector 103,2.0,3.0,3.0,Moderately Old,3.0,11.0,1889.0,1,0,1,High,Low Floor,0.93
