property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 88a,3.0,3.0,3.0,Moderately Old,4.0,17.0,2330.0,0,0,0,Medium,Low Floor,1.3
flat,sector 79,2.0,2.0,2.0,Moderately Old,4.0,15.0,1502.96,0,0,0,Medium,Low Floor,1.0
flat,sector 88a,2.0,2.0,3.0,Moderately Old,7.0,17.0,1887.0,0,0,0,Medium,Low Floor,1.0
flat,sector 88a,2.0,2.0,2.0,Moderately Old,6.0,17.0,1701.0,0,0,0,Medium,Low Floor,0.95
flat,sector 66,2.0,3.0,3.0,Moderately Old,16.0,25.0,1471.96,1,0,1,Medium,Low Floor,1.85
flat,sector 77,4.0,3.0,3.0,Moderately Old,9.0,9.0,1949.99,1,0,0,High,Low Floor,1.65
flat,sector 107,3.0,3.0,3.0,Moderately Old,10.0,14.0,1942.99,0,0,0,High,Low Floor,1.32
flat,sector 107,2.0,2.0,3.0,Moderately Old,6.0,14.0,1533.96,0,0,0,High,Low Floor,1.02
flat,sector 109,4.0,5.0,3.0,Moderately Old,10.0,19.0,3055.01,0,0,0,High,Low Floor,1.88
flat,sector 102,3.0,4.0,3.0,Moderately Old,13.0,25.0,2149.01,1,0,0,Medium,Low Floor,2.15
flat,sector 111,3.0,4.0,2.0,Moderately Old,10.0,21.0,2200.03,1,0,0,Medium,Low Floor,2.58
flat,sector 111,3.0,3.0,2.0,Moderately Old,12.0,21.0,1700.05,0,0,0,Medium,Low Floor,2.25
flat,sector 109,3.0,4.0,3.0,Moderately Old,9.0,27.0,2149.98,1,0,0,Medium,Low Floor,1.75
flat,sector 108,2.0,3.0,3.0,Moderately Old,10.0,14.0,1282.95,0,0,0,Medium,Low Floor,0.93
flat,sector 112,3.0,5.0,3.0,Moderately Old,4.0,28.0,3762.95,1,0,1,Low,Low Floor,4.75
flat,sector 79,3.0,4.0,3.0,Moderately Old,5.0,20.0,2149.98,1,0,1,High,Low Floor,1.72
flat,sector 72,4.0,4.0,3.0,New Property,0.0,3.0,4250.02,1,0,1,High,Low Floor,6.75
flat,sector 62,2.0,2.0,2.0,New Property,7.0,32.0,1199.96,0,0,2,High,Low Floor,2.45
flat,sector 85,4.0,5.0,3.0,Moderately Old,4.0,26.0,2811.96,0,0,0,High,Low Floor,2.2
flat,sector 72,4.0,4.0,3.0,New Property,30.0,40.0,3355.0,1,0,1,High,Low Floor,5.25
flat,sector 72,4.0,4.0,3.0,New Property,2.0,40.0,4399.96,1,1,1,High,Low Floor,5.0
flat,sector 72,4.0,4.0,3.0,Moderately Old,2.0,4.0,4499.96,1,0,1,High,Low Floor,5.0
flat,sector 113,3.0,4.0,3.0,Moderately Old,4.0,25.0,2217.04,1,0,1,Medium,Low Floor,2.7
flat,sector 48,4.0,4.0,3.0,Moderately Old,11.0,14.0,2566.97,1,0,1,High,Low Floor,2.65
flat,sector 22,2.0,2.0,2.0,Moderately Old,9.0,20.0,1380.04,0,0,2,High,Low Floor,1.65
flat,sector 22,3.0,3.0,3.0,Moderately Old,8.0,20.0,1860.0,0,0,1,High,Low Floor,2.55
flat,sector 22,3.0,3.0,3.0,Moderately Old,5.0,20.0,1860.0,0,0,2,Medium,Low Floor,2.55
flat,sector 22,3.0,4.0,3.0,Moderately Old,6.0,18.0,3089.99,1,0,2,Medium,Low Floor,4.3
flat,sector 69,4.0,4.0,2.0,Moderately Old,10.0,14.0,2010.05,1,1,0,High,Low Floor,1.7
flat,sector 22,2.0,2.0,2.0,Moderately Old,8.0,18.0,1380.04,0,0,2,Medium,Low Floor,2.4
flat,sector 37c,2.0,3.0,3.0,Moderately Old,5.0,23.0,1577.99,0,0,0,High,Low Floor,0.87
flat,sector 37c,3.0,3.0,3.0,Moderately Old,4.0,14.0,1763.02,0,0,0,Medium,Low Floor,1.25
flat,sector 37c,3.0,5.0,3.0,Moderately Old,5.0,23.0,1815.01,1,0,0,Medium,Low Floor,0.99
flat,sector 102,3.0,3.0,3.0,Moderately Old,7.0,14.0,1650.0,1,0,1,Low,Low Floor,1.39
flat,sector 50,3.0,3.0,3.0,Moderately Old,6.0,18.0,2604.97,1,0,0,High,Low Floor,2.7
flat,sector 37d,4.0,4.0,3.0,Moderately Old,7.0,23.0,2190.99,0,0,1,High,Low Floor,1.75
flat,sector 37d,4.0,3.0,3.0,Moderately Old,19.0,23.0,2190.99,0,0,1,High,Low Floor,1.55
flat,sector 37d,4.0,3.0,3.0,Moderately Old,7.0,23.0,2190.99,0,0,1,High,Low Floor,1.6
flat,sector 109,3.0,3.0,3.0,Moderately Old,5.0,27.0,1749.99,0,0,0,Medium,Low Floor,1.4
flat,sector 70a,3.0,3.0,3.0,Moderately Old,3.0,3.0,1925.02,0,0,0,High,Low Floor,1.8
flat,sector 107,4.0,5.0,3.0,Moderately Old,12.0,14.0,2768.04,1,0,0,Low,Low Floor,1.65
flat,sector 30,3.0,5.0,3.0,Old Property,16.0,19.0,2367.95,1,0,1,High,Low Floor,3.55
flat,sector 43,4.0,4.0,3.0,Old Property,18.0,18.0,2993.0,1,0,1,High,Low Floor,6.0
flat,sector 48,3.0,4.0,3.0,Moderately Old,3.0,14.0,2285.0,0,0,1,High,Low Floor,1.8
flat,sector 70a,3.0,4.0,3.0,Moderately Old,8.0,30.0,2349.97,1,1,1,High,Low Floor,2.5
flat,sector 39,4.0,3.0,3.0,Old Property,10.0,12.0,3058.0,1,0,2,Medium,Low Floor,1.5
flat,sector 83,3.0,2.0,2.0,Moderately Old,2.0,7.0,1754.95,0,0,0,High,Low Floor,1.04
flat,sector 67a,2.0,2.0,1.0,Moderately Old,6.0,14.0,769.0,0,0,1,Medium,Low Floor,0.53
flat,sector 70,3.0,5.0,3.0,Moderately Old,8.0,18.0,1949.99,1,0,0,High,Low Floor,1.64
flat,sector 65,4.0,4.0,3.0,Moderately Old,4.0,4.0,1974.96,1,0,1,High,Low Floor,2.9
flat,sector 65,3.0,3.0,3.0,Moderately Old,0.0,4.0,1650.0,1,0,1,High,Low Floor,2.36
flat,sector 54,3.0,4.0,3.0,Moderately Old,6.0,30.0,1983.03,1,0,2,High,Low Floor,4.85
flat,sector 83,3.0,3.0,2.0,Moderately Old,2.0,18.0,1980.02,1,0,0,High,Low Floor,1.25
flat,sector 90,3.0,3.0,2.0,Moderately Old,6.0,13.0,2537.0,0,0,1,Medium,Low Floor,0.92
flat,sector 81,3.0,3.0,3.0,Moderately Old,15.0,29.0,2744.0,1,0,1,Medium,Low Floor,2.7
flat,sector 90,2.0,3.0,2.0,Moderately Old,7.0,13.0,1759.0,0,0,1,Medium,Low Floor,0.7
flat,sector 85,2.0,2.0,2.0,Moderately Old,16.0,26.0,2265.0,0,0,1,Medium,Low Floor,1.25
flat,sector 85,4.0,4.0,3.0,Moderately Old,8.0,26.0,2811.96,1,0,0,Low,Low Floor,2.3
flat,sector 85,3.0,4.0,3.0,Moderately Old,8.0,26.0,2407.99,1,0,0,Low,Low Floor,2.0
flat,sector 83,3.0,3.0,2.0,Moderately Old,11.0,18.0,1735.03,0,0,0,Low,Low Floor,1.08
flat,sector 65,3.0,3.0,3.0,Moderately Old,9.0,13.0,1395.0,1,0,2,High,Low Floor,1.73
flat,sector 65,2.0,2.0,2.0,Moderately Old,7.0,13.0,1019.99,0,0,0,Medium,Low Floor,1.3
flat,sector 65,4.0,4.0,3.0,Moderately Old,0.0,4.0,1974.96,1,0,1,High,Low Floor,2.85
flat,sector 65,3.0,3.0,3.0,Moderately Old,3.0,4.0,1650.0,1,0,0,High,Low Floor,2.25
flat,sector 65,3.0,3.0,3.0,Moderately Old,2.0,4.0,1650.0,1,0,1,High,Low Floor,2.35
flat,sector 65,4.0,4.0,3.0,Moderately Old,2.0,4.0,1974.96,0,0,1,High,Low Floor,2.8
flat,sector 65,3.0,3.0,3.0,Moderately Old,2.0,4.0,1650.0,1,0,1,Medium,Low Floor,2.35
flat,sector 65,4.0,4.0,3.0,Moderately Old,3.0,4.0,1974.96,1,0,1,High,Low Floor,2.75
flat,sector 65,3.0,3.0,3.0,Moderately Old,2.0,4.0,1650.0,1,0,1,High,Low Floor,2.36
flat,sector 110,4.0,4.0,3.0,Moderately Old,2.0,12.0,2410.04,1,0,1,High,Low Floor,3.4
flat,sector 77,2.0,2.0,2.0,Moderately Old,10.0,18.0,1342.04,0,0,1,Medium,Low Floor,0.8
flat,gwal pahari,4.0,4.0,3.0,Moderately Old,6.0,31.0,6000.01,1,0,0,Medium,Low Floor,7.0
flat,sector 50,3.0,4.0,3.0,Moderately Old,6.0,19.0,1877.01,1,0,1,High,Low Floor,1.8
flat,sector 50,3.0,4.0,3.0,Moderately Old,6.0,18.0,2480.0,1,0,1,High,Low Floor,2.65
flat,sector 83,3.0,3.0,3.0,Moderately Old,3.0,18.0,1735.03,0,1,0,Medium,Low Floor,1.05
flat,sector 50,3.0,3.0,3.0,Moderately Old,14.0,19.0,1794.02,0,0,1,High,Low Floor,1.88
flat,sector 84,2.0,2.0,3.0,Moderately Old,8.0,26.0,1533.96,0,0,1,Low,Low Floor,1.15
flat,sector 83,4.0,4.0,3.0,Moderately Old,3.0,18.0,2390.02,1,0,0,Low,Low Floor,1.33
flat,sector 50,3.0,4.0,2.0,Moderately Old,15.0,19.0,2711.0,1,0,1,High,Low Floor,2.6
flat,sector 50,3.0,3.0,3.0,Moderately Old,8.0,18.0,2604.97,1,0,1,High,Low Floor,2.97
flat,sector 69,4.0,4.0,2.0,Moderately Old,9.0,14.0,2010.05,0,0,1,High,Low Floor,1.8
flat,sector 69,4.0,4.0,2.0,Moderately Old,10.0,14.0,2010.05,0,0,1,High,Low Floor,1.78
flat,sector 69,3.0,3.0,2.0,Moderately Old,4.0,14.0,1577.99,0,0,1,High,Low Floor,1.52
flat,sector 69,3.0,3.0,2.0,Moderately Old,9.0,14.0,1577.99,0,0,1,High,Low Floor,1.55
flat,sector 86,3.0,3.0,1.0,Moderately Old,12.0,19.0,1929.97,0,0,1,High,Low Floor,1.55
flat,sector 83,1.0,1.0,1.0,Moderately Old,6.0,11.0,609.0,0,0,2,Medium,Low Floor,0.4
flat,sector 70a,3.0,3.0,3.0,Moderately Old,11.0,30.0,2149.98,1,0,0,Medium,Low Floor,2.4
flat,sector 82,3.0,3.0,3.0,Moderately Old,11.0,16.0,2159.99,1,0,1,High,Low Floor,1.37
flat,sector 49,3.0,4.0,3.0,Moderately Old,11.0,17.0,2251.38,1,0,1,High,Low Floor,2.65
flat,sector 104,3.0,4.0,3.0,Moderately Old,8.0,17.0,2363.0,1,0,1,High,Low Floor,1.16
flat,sector 104,3.0,4.0,3.0,Moderately Old,7.0,17.0,2342.0,1,0,1,High,Low Floor,1.05
flat,sector 104,4.0,5.0,3.0,Moderately Old,0.0,17.0,3513.0,1,1,0,High,Low Floor,1.35
flat,sector 104,4.0,5.0,3.0,Moderately Old,0.0,17.0,3503.0,1,1,0,High,Low Floor,1.35
flat,sector 66,3.0,3.0,3.0,Moderately Old,11.0,17.0,1949.99,0,0,1,High,Low Floor,2.85
flat,sector 84,2.0,2.0,1.0,Moderately Old,4.0,14.0,582.97,0,0,0,Low,Low Floor,0.35
flat,sector 107,2.0,2.0,3.0,Moderately Old,3.0,14.0,1366.05,0,0,0,High,Low Floor,0.88
flat,sector 102,3.0,4.0,3.0,Moderately Old,3.0,24.0,2579.03,0,0,1,Medium,Low Floor,2.4
flat,sector 60,4.0,5.0,3.0,Moderately Old,24.0,39.0,2808.95,1,0,1,Medium,Low Floor,3.6
flat,gwal pahari,4.0,4.0,3.0,New Property,20.0,43.0,5349.98,1,0,1,Medium,Low Floor,7.5
flat,sector 113,2.0,2.0,2.0,Moderately Old,6.0,13.0,1275.95,0,0,0,Medium,Low Floor,1.45
flat,sector 50,3.0,3.0,3.0,Moderately Old,8.0,16.0,1997.03,0,0,1,High,Low Floor,2.35
flat,sector 82,2.0,2.0,2.0,Moderately Old,12.0,16.0,1435.04,0,0,1,High,Low Floor,0.94
flat,sector 82,2.0,2.0,2.0,Moderately Old,15.0,16.0,1299.96,0,0,1,High,Low Floor,0.81
flat,sector 50,3.0,4.0,3.0,Moderately Old,4.0,18.0,2490.98,1,0,1,High,Low Floor,3.1
flat,sector 82,3.0,3.0,3.0,Moderately Old,11.0,16.0,2159.99,1,0,1,High,Low Floor,1.39
flat,sector 82,2.0,2.0,3.0,Moderately Old,9.0,16.0,1435.04,0,0,1,High,Low Floor,0.94
flat,sector 82,2.0,2.0,2.0,Moderately Old,0.0,16.0,1298.02,0,0,1,High,Low Floor,0.78
flat,sector 82,2.0,2.0,2.0,Moderately Old,9.0,16.0,1429.98,0,0,0,High,Low Floor,0.85
flat,sector 85,2.0,2.0,2.0,Moderately Old,5.0,12.0,1312.01,0,0,0,Low,Low Floor,0.69
flat,sector 79,3.0,4.0,3.0,Moderately Old,7.0,15.0,2243.95,1,0,0,High,Low Floor,2.03
flat,sector 85,3.0,4.0,3.0,Moderately Old,4.0,12.0,1645.05,1,0,1,Medium,Low Floor,0.8
flat,sector 90,2.0,2.0,3.0,Moderately Old,9.0,13.0,1350.01,0,0,0,Medium,Low Floor,0.65
flat,sector 84,3.0,3.0,2.0,Moderately Old,18.0,21.0,1749.99,0,0,0,Medium,Low Floor,1.01
flat,sector 90,4.0,5.0,2.0,New Property,9.0,13.0,2575.05,1,0,0,High,Low Floor,1.27
flat,sector 83,2.0,2.0,2.0,Moderately Old,7.0,18.0,1244.95,0,0,1,High,Low Floor,0.84
flat,sector 85,3.0,4.0,3.0,Moderately Old,6.0,26.0,2407.99,1,0,1,High,Low Floor,1.77
flat,sector 69,4.0,4.0,1.0,Moderately Old,12.0,14.0,1970.01,0,0,0,High,Low Floor,1.66
flat,sector 69,3.0,3.0,2.0,Moderately Old,2.0,14.0,1577.99,0,0,0,High,Low Floor,1.4
flat,sector 81,3.0,4.0,3.0,Moderately Old,15.0,29.0,2100.04,1,0,2,High,Low Floor,2.29
flat,sector 90,3.0,3.0,3.0,Moderately Old,7.0,19.0,1929.97,1,0,0,High,Low Floor,1.21
flat,sector 92,3.0,3.0,2.0,Moderately Old,1.0,4.0,1180.05,0,0,0,Low,Low Floor,0.5
flat,sector 77,2.0,2.0,2.0,Moderately Old,6.0,18.0,1342.04,0,0,0,Medium,Low Floor,0.71
flat,sector 65,4.0,4.0,3.0,Moderately Old,2.0,4.0,1974.96,1,0,0,Medium,Low Floor,3.0
flat,sector 90,3.0,3.0,3.0,Moderately Old,15.0,29.0,1754.95,0,0,0,High,Low Floor,1.2
flat,sector 72,3.0,3.0,3.0,Moderately Old,2.0,7.0,3300.0,1,0,0,Medium,Low Floor,3.25
flat,sohna road,2.0,2.0,3.0,Moderately Old,7.0,17.0,1464.97,0,0,1,High,Low Floor,0.9
flat,sohna road,3.0,3.0,3.0,Moderately Old,7.0,17.0,1729.97,0,0,0,High,Low Floor,1.07
flat,sector 85,2.0,2.0,3.0,Moderately Old,12.0,26.0,1639.99,0,0,1,High,Low Floor,1.2
flat,sector 85,4.0,5.0,3.0,Moderately Old,1.0,15.0,2811.96,1,0,0,High,Low Floor,2.15
flat,sector 69,4.0,4.0,1.0,Moderately Old,12.0,14.0,1970.01,0,0,0,Medium,Low Floor,1.72
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1537.95,0,0,0,Medium,Low Floor,1.36
flat,sector 69,4.0,4.0,1.0,Moderately Old,12.0,14.0,1970.01,0,0,0,Medium,Low Floor,1.75
flat,sector 69,4.0,4.0,1.0,Moderately Old,12.0,14.0,1970.01,0,0,0,Medium,Low Floor,1.75
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1537.95,0,0,0,Medium,Low Floor,1.38
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1567.98,0,0,1,Medium,Low Floor,1.29
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1577.99,0,0,0,High,Low Floor,1.37
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1567.98,0,0,1,Medium,Low Floor,1.32
flat,sector 69,3.0,3.0,1.0,Moderately Old,12.0,14.0,1537.95,0,0,1,Medium,Low Floor,1.3
flat,sector 86,3.0,3.0,3.0,Moderately Old,12.0,22.0,1929.97,1,0,1,High,Low Floor,1.3
flat,sector 86,3.0,3.0,1.0,Moderately Old,15.0,19.0,1929.0,0,0,0,High,Low Floor,1.5
flat,sector 69,4.0,4.0,2.0,Moderately Old,2.0,14.0,2010.05,0,0,0,High,Low Floor,1.68
flat,sector 69,3.0,3.0,2.0,Moderately Old,11.0,14.0,1577.99,0,0,0,High,Low Floor,1.4
flat,sector 86,3.0,3.0,1.0,Moderately Old,16.0,19.0,1900.04,0,0,0,Medium,Low Floor,1.5
flat,sector 107,3.0,2.0,2.0,Moderately Old,6.0,14.0,839.0,0,0,0,Medium,Low Floor,0.5
flat,sector 107,2.0,2.0,1.0,Moderately Old,7.0,14.0,602.02,0,0,0,Medium,Low Floor,0.36
flat,sector 72,4.0,5.0,3.0,Moderately Old,8.0,8.0,4632.03,1,1,0,High,Low Floor,3.1
flat,sector 95,2.0,2.0,1.0,Moderately Old,5.0,14.0,715.0,0,0,1,Medium,Low Floor,0.31
flat,sector 92,3.0,3.0,3.0,Moderately Old,2.0,21.0,1725.0,0,0,0,Medium,Low Floor,0.71
flat,sector 83,3.0,3.0,1.0,Moderately Old,7.0,15.0,1832.02,0,0,1,High,Low Floor,1.15
flat,sector 83,3.0,2.0,2.0,Moderately Old,1.0,7.0,1754.95,0,0,1,High,Low Floor,1.05
flat,sector 61,3.0,3.0,3.0,Moderately Old,15.0,32.0,1800.05,0,0,1,Medium,Low Floor,2.1
flat,sector 107,2.0,2.0,2.0,Moderately Old,0.0,14.0,636.0,0,0,0,Medium,Low Floor,0.28
flat,sector 107,2.0,2.0,2.0,Moderately Old,11.0,14.0,636.0,0,0,0,Low,Low Floor,0.28
flat,sector 107,2.0,2.0,2.0,Moderately Old,14.0,14.0,636.0,0,0,0,Low,Low Floor,0.28
flat,sector 107,2.0,2.0,2.0,Moderately Old,10.0,14.0,636.0,0,0,0,Low,Low Floor,0.28
flat,sector 103,1.0,1.0,1.0,Moderately Old,4.0,14.0,469.0,0,0,0,Low,Low Floor,0.23
flat,sector 107,3.0,2.0,2.0,Moderately Old,9.0,14.0,839.0,0,0,0,Low,Low Floor,0.51
flat,sector 107,2.0,2.0,2.0,Moderately Old,8.0,14.0,712.0,0,0,0,Medium,Low Floor,0.35
flat,sector 107,2.0,2.0,2.0,Moderately Old,11.0,14.0,636.0,0,0,0,Medium,Low Floor,0.28
flat,sector 107,2.0,2.0,2.0,Moderately Old,8.0,14.0,712.0,0,0,0,Medium,Low Floor,0.36
flat,sector 65,3.0,3.0,3.0,Moderately Old,1.0,5.0,2147.0,1,0,1,High,Low Floor,2.0
flat,sector 66,4.0,4.0,3.0,Moderately Old,6.0,18.0,2763.95,1,0,0,Low,Low Floor,2.7
flat,sector 65,3.0,4.0,3.0,Moderately Old,15.0,40.0,3042.95,1,0,0,High,Low Floor,4.94
flat,sector 69,4.0,4.0,2.0,Moderately Old,10.0,14.0,2010.05,0,0,1,High,Low Floor,1.75
flat,sector 90,4.0,5.0,2.0,Moderately Old,8.0,14.0,2575.05,1,0,0,High,Low Floor,1.25
flat,sector 90,3.0,4.0,3.0,Moderately Old,4.0,13.0,1874.96,1,0,0,Medium,Low Floor,0.92
flat,sector 90,4.0,5.0,2.0,Moderately Old,9.0,13.0,2475.05,1,0,0,High,Low Floor,1.3
flat,sector 69,2.0,2.0,1.0,Moderately Old,4.0,11.0,627.0,0,0,1,Medium,Low Floor,0.62
flat,sector 69,4.0,5.0,3.0,Moderately Old,5.0,12.0,2400.03,1,0,1,High,Low Floor,1.92
flat,sector 56,4.0,4.0,3.0,Moderately Old,8.0,9.0,2400.03,0,0,1,Medium,Low Floor,2.0
flat,sector 70,4.0,5.0,3.0,Moderately Old,2.0,12.0,2400.03,1,0,1,Medium,Low Floor,2.0
flat,manesar,3.0,4.0,3.0,Moderately Old,3.0,12.0,3182.0,1,0,0,Low,Low Floor,0.75
flat,sector 85,3.0,4.0,3.0,Moderately Old,2.0,26.0,2407.99,1,0,1,Medium,Low Floor,1.85
flat,sector 91,2.0,2.0,3.0,Moderately Old,9.0,13.0,1404.04,0,0,1,Low,Low Floor,0.89
flat,sector 85,3.0,4.0,2.0,Moderately Old,6.0,12.0,2119.95,1,0,1,Medium,Low Floor,1.25
flat,sector 102,3.0,3.0,3.0,Moderately Old,10.0,26.0,1691.98,0,0,1,Medium,Low Floor,2.15
flat,sector 67,3.0,3.0,3.0,Moderately Old,21.0,51.0,2411.01,1,0,1,High,Low Floor,3.05
flat,sector 67,3.0,3.0,3.0,Moderately Old,0.0,21.0,2046.97,0,0,1,High,Low Floor,2.65
flat,sector 81,2.0,2.0,3.0,Moderately Old,5.0,12.0,734.96,0,0,0,High,Low Floor,0.49
flat,sector 70a,3.0,3.0,3.0,Moderately Old,12.0,28.0,1654.95,0,0,0,Medium,Low Floor,1.82
flat,sector 81,2.0,2.0,3.0,Moderately Old,6.0,12.0,734.96,0,0,0,High,Low Floor,0.5
flat,sector 77,3.0,3.0,3.0,Moderately Old,17.0,18.0,1822.01,0,0,1,Medium,Low Floor,0.92
flat,sector 70,3.0,4.0,3.0,Moderately Old,1.0,14.0,1949.99,1,0,2,High,Low Floor,1.65
flat,sector 70a,2.0,2.0,2.0,Moderately Old,10.0,22.0,1450.0,0,0,0,Low,Low Floor,1.1
flat,sector 70a,3.0,3.0,3.0,Moderately Old,8.0,22.0,1976.04,1,0,0,Low,Low Floor,1.55
flat,sector 70a,3.0,3.0,2.0,Moderately Old,1.0,3.0,1425.03,0,0,0,Medium,Low Floor,1.25
flat,sector 70a,4.0,4.0,3.0,Moderately Old,1.0,3.0,1847.95,0,0,0,Low,Low Floor,1.6
flat,sector 70,2.0,2.0,3.0,Moderately Old,8.0,18.0,1350.01,0,0,0,Medium,Low Floor,1.15
flat,sector 70,3.0,3.0,3.0,Moderately Old,10.0,18.0,1949.99,1,0,0,Low,Low Floor,1.6
flat,sector 81,4.0,5.0,3.0,Moderately Old,15.0,29.0,4199.97,1,0,1,High,Low Floor,4.0
flat,sector 81,3.0,4.0,3.0,Moderately Old,15.0,19.0,2659.97,1,0,1,High,Low Floor,2.22
flat,sector 81,4.0,5.0,2.0,Moderately Old,6.0,19.0,3185.04,1,0,1,High,Low Floor,3.0
flat,sector 82,2.0,2.0,2.0,Moderately Old,11.0,16.0,1435.04,0,0,1,High,Low Floor,1.0
flat,sector 62,5.0,7.0,3.0,Moderately Old,10.0,34.0,5514.02,1,0,1,High,Low Floor,10.75
flat,sector 62,4.0,6.0,3.0,Moderately Old,16.0,34.0,4690.05,1,1,1,High,Low Floor,9.14
flat,sector 62,4.0,6.0,3.0,Moderately Old,16.0,34.0,4278.97,1,0,0,High,Low Floor,8.35
flat,sector 1 imt manesar,3.0,3.0,3.0,Moderately Old,2.0,8.0,2049.98,1,0,0,Medium,Low Floor,0.73
flat,sector 1 imt manesar,3.0,4.0,3.0,Moderately Old,6.0,8.0,2600.02,1,0,0,Medium,Low Floor,0.95
flat,sector 1 imt manesar,2.0,2.0,3.0,Moderately Old,7.0,8.0,1250.01,0,0,0,Medium,Low Floor,0.48
flat,sector 1 imt manesar,3.0,3.0,3.0,Moderately Old,3.0,9.0,2587.96,1,0,0,Medium,Low Floor,0.86
flat,sector 1 imt manesar,3.0,3.0,3.0,Moderately Old,2.0,9.0,2587.96,1,0,0,Medium,Low Floor,0.81
flat,sector 67,3.0,3.0,3.0,Moderately Old,0.0,21.0,2046.97,0,0,1,Medium,Low Floor,2.9
flat,sector 71,1.0,1.0,2.0,Moderately Old,2.0,4.0,499.98,0,0,1,Low,Low Floor,0.37
flat,sector 71,2.0,2.0,1.0,Moderately Old,6.0,12.0,699.98,0,0,0,Medium,Low Floor,0.59
flat,sector 71,2.0,2.0,1.0,Moderately Old,5.0,12.0,599.98,0,0,0,Medium,Low Floor,0.6
flat,sector 71,1.0,1.0,2.0,Moderately Old,2.0,4.0,450.04,0,0,0,Medium,Low Floor,0.37
flat,sector 107,2.0,2.0,3.0,Moderately Old,4.0,14.0,1366.05,0,0,0,Low,Low Floor,0.9
flat,sector 70,3.0,5.0,3.0,Moderately Old,8.0,18.0,1949.99,1,0,0,Medium,Low Floor,1.66
flat,sector 90,4.0,4.0,3.0,Moderately Old,20.0,28.0,2727.03,1,0,0,Medium,Low Floor,2.0
flat,sector 70,3.0,5.0,3.0,Moderately Old,5.0,18.0,1949.99,1,0,0,Medium,Low Floor,1.67
flat,sector 70,2.0,2.0,2.0,Moderately Old,8.0,18.0,1692.0,0,0,0,Medium,Low Floor,1.1
flat,sector 70,3.0,5.0,3.0,Moderately Old,6.0,18.0,1949.99,1,0,0,Medium,Low Floor,1.6
flat,sector 70,2.0,2.0,3.0,Moderately Old,8.0,18.0,1350.01,0,0,0,Medium,Low Floor,1.07
flat,sector 69,4.0,4.0,2.0,Moderately Old,6.0,14.0,2010.05,0,0,0,Medium,Low Floor,1.76
flat,sector 69,3.0,3.0,2.0,Moderately Old,5.0,14.0,1577.99,0,0,0,Medium,Low Floor,1.55
flat,gwal pahari,4.0,5.0,3.0,New Property,11.0,26.0,5800.02,1,0,0,High,Low Floor,5.5
flat,sector 99a,2.0,2.0,1.0,Moderately Old,8.0,12.0,630.0,0,0,0,Medium,Low Floor,0.27
flat,sector 99a,2.0,2.0,1.0,Moderately Old,6.0,12.0,716.0,0,0,0,Medium,Low Floor,0.26
flat,sector 102,2.0,2.0,2.0,Moderately Old,0.0,26.0,1215.03,0,0,0,Medium,Low Floor,1.25
flat,sector 102,3.0,4.0,3.0,Moderately Old,10.0,25.0,2149.01,1,0,0,Medium,Low Floor,2.1
flat,sector 106,2.0,2.0,3.0,Moderately Old,2.0,8.0,1384.99,0,0,0,Medium,Low Floor,0.95
flat,sector 106,2.0,2.0,3.0,Moderately Old,2.0,8.0,1384.99,0,0,0,High,Low Floor,0.92
flat,sector 106,3.0,4.0,3.0,Moderately Old,5.0,24.0,1760.01,1,0,0,High,Low Floor,1.25
flat,sector 106,2.0,2.0,3.0,New Property,1.0,8.0,1384.99,0,0,0,High,Low Floor,0.87
flat,sector 106,3.0,4.0,3.0,Moderately Old,9.0,24.0,1760.01,1,0,0,High,Low Floor,1.2
flat,sector 37d,2.0,2.0,3.0,Moderately Old,10.0,19.0,1380.04,0,0,0,High,Low Floor,0.8
flat,sector 37d,3.0,3.0,3.0,Moderately Old,5.0,19.0,1770.02,0,0,0,High,Low Floor,0.98
flat,sector 113,2.0,2.0,2.0,Moderately Old,3.0,13.0,1275.95,0,0,0,Medium,Low Floor,1.32
flat,sector 56,3.0,3.0,3.0,Old Property,5.0,8.0,2000.04,0,0,1,Medium,Low Floor,1.35
flat,sector 111,4.0,5.0,3.0,Moderately Old,9.0,21.0,2949.95,1,0,0,Medium,Low Floor,3.45
flat,sector 81,3.0,4.0,3.0,New Property,8.0,19.0,2659.97,1,0,1,High,Low Floor,2.4
flat,sector 81,4.0,4.0,3.0,New Property,10.0,28.0,2872.02,1,0,2,High,Low Floor,3.45
flat,sector 81,3.0,3.0,3.0,Moderately Old,15.0,29.0,2132.01,1,0,2,High,Low Floor,2.25
flat,sector 37c,3.0,3.0,3.0,Moderately Old,2.0,10.0,1735.03,0,0,0,Medium,Low Floor,1.25
flat,sector 37c,3.0,3.0,3.0,Moderately Old,2.0,10.0,1990.03,1,0,0,Medium,Low Floor,1.43
flat,sector 37c,3.0,3.0,3.0,Moderately Old,2.0,14.0,1763.02,0,0,0,Medium,Low Floor,1.27
