model,mean_log_r2,std_log_r2,mean_log_mae,mean_log_rmse
XGBoost,0.8765207271840522,0.019387091847050085,0.12862560960725514,0.1949262192497319
ExtraTrees,0.8712534704415924,0.015872158346493345,0.11717305811166401,0.19922591049515187
RandomForest,0.8640386330947928,0.014778821365797442,0.12633111095142463,0.20492230872577855
GradientBoosting,0.8274541343608325,0.016803262149804557,0.16033645436064625,0.23100855161749964
Ridge,0.7951708010689524,0.02090455359064153,0.17577786645548849,0.25142925551005446
LinearRegression,0.794051948766079,0.023016347206380905,0.17557885612769866,0.2520161746518324
